author,commit_count,active_days,total_days,activity_ratio
# Commented Penguin,1,1,1,1.0
#@AdrianaSA,1,1,1,1.0
#MakeTankiBetter,3,1,1,1.0
$artnp,3,1,1,1.0
$three,1,1,1,1.0
%username%,2,1,1,1.0
(BOT) Akihiro Urushihara,4,1,1,1.0
(Lazard) S.Y. Lee,1,1,1,1.0
(Max) Loo Pin Mok,1,1,1,1.0
(ﾉ◕ヮ◕)ﾉ*:･ﾟ✧,4,1,1,1.0
*,1,1,1,1.0
*Gustavo,1,1,1,1.0
*Purr* Translations,3,1,1,1.0
+,12,1,1,1.0
-,12,1,1,1.0
--Dmitriy,2,1,1,1.0
--add,2,1,1,1.0
--global,4,1,1,1.0
--replace-all,3,1,1,1.0
-JuanMedinaPCA,1,1,1,1.0
-ne,2,1,1,1.0
-sche,1,1,1,1.0
-sinda -abdaoui,1,1,1,1.0
-yayabb,1,1,1,1.0
/MOHD AFFAN,1,1,1,1.0
/Xenz404,1,1,1,1.0
/usr/unixity,1,1,1,1.0
0-Justin-ng,1,1,1,1.0
0-gain,1,1,1,1.0
0-v-0,3,1,1,1.0
0-vortex,55,1,1,1.0
00000000000000001,2,1,1,1.0
0000c4,1,1,1,1.0
0000u,153,1,1,1.0
001mo,1,1,1,1.0
003HRZ744,6,1,1,1.0
007LordVader007,6,1,1,1.0
007seann,1,1,1,1.0
00953137,5,1,1,1.0
00alex,1,1,1,1.0
00day0,1,1,1,1.0
00jitendra,1,1,1,1.0
01,1,1,1,1.0
01101010110,1,1,1,1.0
014036,3,1,1,1.0
018bf,3,1,1,1.0
01GP45088KRDM5A684KKPHGSTJ,13474,1,1,1.0
01Sriharsha,3,1,1,1.0
01one,4,1,1,1.0
0211AB,4,1,1,1.0
022by,1,1,1,1.0
02fede02,1,1,1,1.0
030,8,1,1,1.0
0314PILOVE,2,1,1,1.0
034qwe,1,1,1,1.0
0418yicheng,6,1,1,1.0
0498drew,5,1,1,1.0
04Marcus,2,1,1,1.0
04burhanuddin,2,1,1,1.0
06066060606060,13,1,1,1.0
0784111172,1,1,1,1.0
07elbekdev,1,1,1,1.0
09105080048,5,1,1,1.0
098suraj,1,1,1,1.0
0HyperCube,4,1,1,1.0
0Magenta0,1,1,1,1.0
0Raspbinary1,1,1,1,1.0
0TTA,3,1,1,1.0
0ZANYAR,5,1,1,1.0
0ale00,1,1,1,1.0
0auBSQ,1,1,1,1.0
0b01,1,1,1,1.0
0cean-kr,3,1,1,1.0
0eunoia,1,1,1,1.0
0hypercube,2,1,1,1.0
0jai0,4,1,1,1.0
0kk470,2,1,1,1.0
0kmg,2,1,1,1.0
0marCherif,2,1,1,1.0
0minKoh,2,1,1,1.0
0minyoung0,2,1,1,1.0
0neGal,5,1,1,1.0
0nvendra,1,1,1,1.0
0o5rlubm,1,1,1,1.0
0pahh,4,1,1,1.0
0penBrain,4,1,1,1.0
0pilatos0,3,1,1,1.0
0rec,1,1,1,1.0
0riioncode,1,1,1,1.0
0takkk,1,1,1,1.0
0ussamaBernou,1,1,1,1.0
0v3rf10w,2,1,1,1.0
0x00CryptFilesasdf,2,1,1,1.0
0x333333333,4,1,1,1.0
0x3639,2,1,1,1.0
0x3C50,2,1,1,1.0
0x4448,1,1,1,1.0
0x4A6F,1,1,1,1.0
0x676e67,6,1,1,1.0
0x7266,1,1,1,1.0
0x74f917491bfa7ebfa379,1,1,1,1.0
0xACAB,2,1,1,1.0
0xAeterno,1,1,1,1.0
0xBriz,2,1,1,1.0
0xC4aE1e5,2,1,1,1.0
0xDanielLopez,26,1,1,1.0
0xDkXy,1,1,1,1.0
0xElectrifier-Ubuntu,3,1,1,1.0
0xFFFF-Y,2,1,1,1.0
0xGhosty,1,1,1,1.0
0xGusMcCrae,2,1,1,1.0
0xKilty,4,1,1,1.0
0xMarcio,5,1,1,1.0
0xMartin,1,1,1,1.0
0xMemoryGrinder,5,1,1,1.0
0xPeterPan,1,1,1,1.0
0xPhoenix.eth,6,1,1,1.0
0xPxt,10,1,1,1.0
0xRe1nk0,5,1,1,1.0
0xRob,2,1,1,1.0
0xShamil,1,1,1,1.0
0xWildhare,1,1,1,1.0
0xYami,4,1,1,1.0
0xYumi,1,1,1,1.0
0xa8c89,1,1,1,1.0
0xacx,2,1,1,1.0
0xayman,2,1,1,1.0
0xbe1,6,1,1,1.0
0xc0001a2040,1,1,1,1.0
0xcii,75,1,1,1.0
0xdcarns,6,1,1,1.0
0xdefacto,1,1,1,1.0
0xff-dev,1,1,1,1.0
0xffce501c47fe475954be6a318740e0793089004f,1,1,1,1.0
0xfriendlyghost,23,1,1,1.0
0xfriendlywhale,23,1,1,1.0
0xgnek,2,1,1,1.0
0xjosaphat,1,1,1,1.0
0xluckycoder,3,1,1,1.0
0xlycurguz,12,1,1,1.0
0xngmi,3,1,1,1.0
0xnithishkumar,2,1,1,1.0
0xotHik,1,1,1,1.0
0xskar,1,1,1,1.0
0xt0pdata,2,1,1,1.0
0xtawa,1,1,1,1.0
0xtrr,1,1,1,1.0
0xywzx,1,1,1,1.0
10010100100,1,1,1,1.0
100DaysOfCodeChallenge,2,1,1,1.0
100DaysofYARA,1,1,1,1.0
100Gyeon,1,1,1,1.0
100Niraj,2,1,1,1.0
100d4n0,6,1,1,1.0
100の人,1,1,1,1.0
1010todd,10,1,1,1.0
1024jp,2,1,1,1.0
1024小神,8,1,1,1.0
1030821847,1,1,1,1.0
10519192,1,1,1,1.0
1054,1,1,1,1.0
1054009064,1,1,1,1.0
1060698832,2,1,1,1.0
1076software,5,1,1,1.0
10Sadique,3,1,1,1.0
10_2pang,13,1,1,1.0
110414,5,1,1,1.0
1111jsh,1,1,1,1.0
111sergio111,2,1,1,1.0
115design,1,1,1,1.0
11Navneet,1,1,1,1.0
11Olya112,1,1,1,1.0
11ayari,1,1,1,1.0
11haindl,1,1,1,1.0
11jo,1,1,1,1.0
11tuvork28,11,1,1,1.0
12-malak,1,1,1,1.0
12.38.0.242,2,1,1,1.0
120405,5,1,1,1.0
12122096,1,1,1,1.0
122440367,4,1,1,1.0
123123123qwerty,1,1,1,1.0
12345532,2,1,1,1.0
1234bu747,1,1,1,1.0
123daxian,10,1,1,1.0
12401453,1,1,1,1.0
127.0.0.1,3,1,1,1.0
12Dima21,1,1,1,1.0
12Gustavo21,1,1,1,1.0
12LetterMeme,2,1,1,1.0
12www,10,1,1,1.0
13,1,1,1,1.0
13 Miles,4,1,1,1.0
130011216-myseneca,2,1,1,1.0
1337,1,1,1,1.0
13402208,1,1,1,1.0
