id,issue_id,trigger,target, consequences
1,774727384,None,People,"['Provided technical explanation', 'Discontinued further discussion', 'Accepting criticism']"
2,654775761,None,People,['Discontinued further discussion']
3,1418577350,None,Code/tool,['Escalating further']
4,1345626221,Communication breakdown,People,['Discontinued further discussion']
5,723058396,Communication breakdown,People,"['Escalating further', 'Trying to stop the incivility']"
6,485217326,Rejection,Undirected,['None']
7,1036757791,None,Company/organization,['None']
8,1294541749,Technical disagreement,People,['Discontinued further discussion']
9,1461489700,Rejection,People,['Discontinued further discussion']
10,362259981,Failed use of tool/code or error messages,Code/tool,['None']
11,1897778633,None,People,['None']
12,1959812102,None,People,['None']
13,855420175,None,None,['None']
14,586054883,Communication breakdown,Code/tool,['Discontinued further discussion']
15,305030419,Failed use of tool/code or error messages,People,['None']
16,1014671924,Rejection,Code/tool,['Discontinued further discussion']
17,303711240,Rejection,Code/tool,['Discontinued further discussion']
18,303710144,Rejection,People,"['Invoke Code of Conduct', 'Escalating further']"
19,299244712,None,None,['None']
20,119143420,Communication breakdown,Code/tool,"['Invoke Code of Conduct', 'Discontinued further discussion']"
21,163697977,Failed use of tool/code or error messages,Code/tool,"['Invoke Code of Conduct', 'Discontinued further discussion']"
22,128495560,Failed use of tool/code or error messages,Code/tool,['None']
23,1084937435,Unprovoked,People,"['Invoke Code of Conduct', 'Discontinued further discussion']"
24,352373552,Failed use of tool/code or error messages,Code/tool,['None']
25,1524714133,None,None,['None']
26,603093257,None,None,['None']
27,1659625133,Rejection,Code/tool,['Discontinued further discussion']
28,1906791437,Failed use of tool/code or error messages,Code/tool,['None']
29,1314537659,Failed use of tool/code or error messages,Code/tool,['Discontinued further discussion']
30,257408022,Violation of community conventions,People,['None']
31,951429255,None,People,"['Accepting criticism', 'Provided technical explanation']"
32,209725628,None,People,"['None', 'Provided technical explanation', 'Accepting criticism']"
33,708907357,Failed use of tool/code or error messages,People,['None']
34,1410698334,Failed use of tool/code or error messages,Company/organization,['Escalating further']
35,294122809,Failed use of tool/code or error messages,People,"['Provided technical explanation', 'Accepting criticism', 'Escalating further']"
36,284999235,None,People,"['None', 'Provided technical explanation']"
37,1159293958,Technical disagreement,Company/organization,['Provided technical explanation']
38,239227953,Communication breakdown,Code/tool,['Provided technical explanation']
39,1027933041,Technical disagreement,None,['Provided technical explanation']
40,1092238495,Technical disagreement,People,['Discontinued further discussion']
41,638202113,Politics/ideology,People,"['Provided technical explanation', 'Escalating further']"
42,877864027,None,None,['None']
43,1336666723,Technical disagreement,Code/tool,"['Discontinued further discussion', 'Trying to stop the incivility']"
44,914128991,Technical disagreement,Code/tool,['Trying to stop the incivility']
45,1242792738,Violation of community conventions,People,"['Trying to stop the incivility', 'Discontinued further discussion']"
46,348797250,Failed use of tool/code or error messages,People,['Discontinued further discussion']
47,484737447,Violation of community conventions,People,"['Escalating further', 'Accepting criticism']"
48,976125179,Failed use of tool/code or error messages,People,"['Provided technical explanation', 'Escalating further']"
49,1636711509,Politics/ideology,Company/organization,"['Discontinued further discussion', 'Escalating further']"
50,532874644,Unprovoked,Company/organization,"['Accepting criticism', 'Trying to stop the incivility']"
51,57258770,Failed use of tool/code or error messages,Code/tool,['Accepting criticism']
52,1656534314,None,None,['None']
53,595484179,Failed use of tool/code or error messages,People,['Discontinued further discussion']
54,993768928,None,None,['None']
55,1863541325,None,People,['Discontinued further discussion']
56,1137539452,Violation of community conventions,Company/organization,"['Discontinued further discussion', 'Accepting criticism']"
57,518811026,Rejection,People,"['Escalating further', 'Provided technical explanation']"
58,338480646,Politics/ideology,People,"['Escalating further', 'Trying to stop the incivility']"
59,709556703,None,None,['None']
60,372714597,None,None,['None']
61,463261125,Technical disagreement,Code/tool,['Trying to stop the incivility']
62,354147871,None,None,['None']
63,304302655,Technical disagreement,People,['None']
64,67171304,Failed use of tool/code or error messages,People,['Discontinued further discussion']
65,1843328693,None,None,['None']
66,1118392130,Technical disagreement,People,['Accepting criticism']
67,1145514858,Technical disagreement,Code/tool,['Escalating further']
68,1144972959,Failed use of tool/code or error messages,Code/tool,['Provided technical explanation']
69,900635226,Failed use of tool/code or error messages,Company/organization,['Accepting criticism']
70,1093353244,None,None,['None']
71,429401662,Unprovoked,People,['Trying to stop the incivility']
72,1500084349,None,None,['None']
73,963088392,Failed use of tool/code or error messages,Code/tool,['Discontinued further discussion']
74,453440611,None,None,['None']
75,1656348603,Technical disagreement,People,['Discontinued further discussion']
76,1160410716,Politics/ideology,People,['Provided technical explanation']
77,1247545715,Failed use of tool/code or error messages,Code/tool,['None']
78,1273536453,Communication breakdown,People,['None']
79,1345038447,Past interactions,People,"['Escalating further', 'Discontinued further discussion']"
80,1087972186,Failed use of tool/code or error messages,Company/organization,"['Escalating further', 'Discontinued further discussion', 'Trying to stop the incivility']"
81,1107247166,Violation of community conventions,Code/tool,"['Escalating further', 'Discontinued further discussion']"
82,639133998,Violation of community conventions,People,"['Trying to stop the incivility', 'Escalating further']"
83,13258430,Unprovoked,Code/tool,['Trying to stop the incivility']
84,1329147554,Politics/ideology,Company/organization,['Escalating further']
85,22814728,Technical disagreement,People,['Trying to stop the incivility']
86,1414333398,Unprovoked,Undirected,['Provided technical explanation']
87,900662967,None,None,['None']
88,1034930502,None,None,['None']
89,1308973136,Technical disagreement,People,['Discontinued further discussion']
90,542105846,Failed use of tool/code or error messages,Code/tool,['Provided technical explanation']
91,30381958,Communication breakdown,Company/organization,"['Escalating further', 'Trying to stop the incivility']"
92,304422453,Communication breakdown,None,"['Accepting criticism', 'Provided technical explanation']"
93,27120442,Technical disagreement,Code/tool,['Provided technical explanation']
94,1166065051,Politics/ideology,People,['None']
95,663559628,Technical disagreement,Code/tool,['None']
96,340189202,Technical disagreement,People,['Invoke Code of Conduct']
97,1958701035,Rejection,Company/organization,['Escalating further']
98,1336452733,Communication breakdown,People,['None']
99,1165880637,None,Company/organization,['Discontinued further discussion']
100,2040759060,None,None,['None']
101,1093916422,None,None,['None']
103,770384781,None,Company/organization,['None']
104,534580041,None,None,"['None', 'Discontinued further discussion']"
105,268049628,Unprovoked,Company/organization,"['Escalating further', 'Invoke Code of Conduct']"
106,724775047,Politics/ideology,Company/organization,['Escalating further']
107,494492439,Communication breakdown,Company/organization,['Escalating further']
108,307906799,Unprovoked,People,['Discontinued further discussion']
109,320554101,Unprovoked,People,['Discontinued further discussion']
110,406907882,Unprovoked,People,['Discontinued further discussion']
111,1090473508,None,None,['None']
112,952956841,Violation of community conventions,Code/tool,['Escalating further']
113,917355114,Failed use of tool/code or error messages,People,['Discontinued further discussion']
114,1213461044,Communication breakdown,Company/organization,['Provided technical explanation']
115,567185616,Communication breakdown,People,['Discontinued further discussion']
116,1464916364,Unprovoked,Undirected,['Trying to stop the incivility']
117,540979735,None,None,['None']
118,105880443,None,Code/tool,['Accepting criticism']
119,245325788,Technical disagreement,Code/tool,['Provided technical explanation']
120,232455334,Technical disagreement,People,['Discontinued further discussion']
121,288780107,Communication breakdown,None,['None']
122,978528716,Unprovoked,People,['Trying to stop the incivility']
123,1269479010,None,Code/tool,['Discontinued further discussion']
124,524307759,None,Code/tool,['None']
125,1465034831,Unprovoked,People,['Escalating further']
126,638643486,Technical disagreement,Code/tool,['Discontinued further discussion']
127,1300661048,Technical disagreement,Code/tool,['Provided technical explanation']
128,627087857,Unprovoked,People,['Escalating further']
129,1687989535,Technical disagreement,People,['Discontinued further discussion']
130,313696087,Failed use of tool/code or error messages,Code/tool,['Discontinued further discussion']
131,333693227,Failed use of tool/code or error messages,People,"['Accepting criticism', 'Discontinued further discussion']"
132,237547233,Technical disagreement,Code/tool,"['Discontinued further discussion', 'Escalating further']"
133,1097421627,Failed use of tool/code or error messages,Code/tool,['Escalating further']
134,1107373635,None,None,['None']
135,1252756496,Failed use of tool/code or error messages,Code/tool,"['Provided technical explanation', 'Discontinued further discussion', 'Invoke Code of Conduct']"
136,340595516,Communication breakdown,Code/tool,"['Accepting criticism', 'Discontinued further discussion']"
137,276835188,Rejection,People,"['Escalating further', 'Provided technical explanation']"
138,230340780,Failed use of tool/code or error messages,Code/tool,"['Invoke Code of Conduct', 'Escalating further', 'Discontinued further discussion']"
139,628465400,Failed use of tool/code or error messages,Code/tool,"['Invoke Code of Conduct', 'Discontinued further discussion']"
140,340715954,None,None,['None']
141,1176509018,Failed use of tool/code or error messages,Company/organization,['Provided technical explanation']
142,271165698,Technical disagreement,Code/tool,['Discontinued further discussion']
143,436467857,Technical disagreement,People,['Provided technical explanation']
144,1034748634,None,None,['Provided technical explanation']
145,436303024,Technical disagreement,Code/tool,"['Provided technical explanation', 'Discontinued further discussion']"
146,670691047,Failed use of tool/code or error messages,People,['Escalating further']
147,1011467346,Rejection,Company/organization,"['Escalating further', 'Invoke Code of Conduct', 'Discontinued further discussion', 'Provided technical explanation']"
148,457401238,Failed use of tool/code or error messages,Code/tool,['None']
149,1102918184,Technical disagreement,People,['Escalating further']
150,980057113,Rejection,People,['Discontinued further discussion']
151,936567326,Communication breakdown,People,['Escalating further']
152,831174119,Unprovoked,People,['Provided technical explanation']
153,1160500635,Failed use of tool/code or error messages,People,['Invoke Code of Conduct']
154,2044991734,Failed use of tool/code or error messages,Code/tool,['Provided technical explanation']
155,1210960989,Failed use of tool/code or error messages,People,['Discontinued further discussion']
156,643360992,Failed use of tool/code or error messages,Company/organization,['Discontinued further discussion']
157,1428767280,Communication breakdown,People,['Escalating further']
158,503451343,Technical disagreement,People,['Discontinued further discussion']
159,1241570951,None,Code/tool,['None']
160,598170002,Communication breakdown,People,['None']
161,1442544013,Violation of community conventions,Code/tool,['Invoke Code of Conduct']
162,1248033266,Communication breakdown,People,"['Invoke Code of Conduct', 'Escalating further']"
163,1160417956,Politics/ideology,Undirected,['Discontinued further discussion']
164,534583789,Communication breakdown,People,['Escalating further']
165,569316203,Communication breakdown,People,['Discontinued further discussion']
166,1221806426,Failed use of tool/code or error messages,People,['Escalating further']
167,639068210,Past interactions,People,"['Accepting criticism', 'Provided technical explanation']"
168,477798655,Unprovoked,Undirected,['None']
169,1393703235,None,None,['None']
170,320553214,Violation of community conventions,People,['Invoke Code of Conduct']
171,1616936787,Failed use of tool/code or error messages,People,['Escalating further']
172,986045665,None,None,['None']
173,93644527,Communication breakdown,People,['Discontinued further discussion']
174,1072818585,Unprovoked,People,"['Invoke Code of Conduct', 'Discontinued further discussion']"
175,1136028189,Failed use of tool/code or error messages,Code/tool,['Escalating further']
176,741692283,Technical disagreement,People,['Invoke Code of Conduct']
177,907232677,Technical disagreement,Undirected,"['Invoke Code of Conduct', 'Provided technical explanation']"
178,330697632,Rejection,Code/tool,['Provided technical explanation']
179,398582372,Unprovoked,Undirected,"['Trying to stop the incivility', 'None']"
180,339498894,Unprovoked,Undirected,['Discontinued further discussion']
181,1361207935,Communication breakdown,People,"['Trying to stop the incivility', 'Provided technical explanation']"
182,286848335,None,None,['None']
183,906427489,Failed use of tool/code or error messages,People,"['Escalating further', 'Discontinued further discussion']"
184,1034782242,Technical disagreement,People,['Discontinued further discussion']
185,941489296,Communication breakdown,People,['None']
186,723862818,None,None,['Discontinued further discussion']
187,997299420,Communication breakdown,People,"['Discontinued further discussion', 'Provided technical explanation']"
188,488965754,None,None,['Provided technical explanation']
189,652809371,Politics/ideology,People,"['Escalating further', 'Discontinued further discussion']"
190,891698219,Failed use of tool/code or error messages,None,['None']
191,894598837,Technical disagreement,Code/tool,['Invoke Code of Conduct']
192,1331118596,Communication breakdown,Code/tool,"['Provided technical explanation', 'Accepting criticism']"
193,1321670019,None,None,['None']
194,1086819542,None,None,['None']
195,807725060,Technical disagreement,Code/tool,['Trying to stop the incivility']
196,74803435,None,None,['None']
197,1163541364,Politics/ideology,Company/organization,"['Escalating further', 'Provided technical explanation']"
198,1530248637,Failed use of tool/code or error messages,Code/tool,['None']
199,1215298581,Unprovoked,People,['Trying to stop the incivility']
200,707573131,Failed use of tool/code or error messages,People,['Discontinued further discussion']
201,869840472,Unprovoked,Code/tool,"['Discontinued further discussion', 'Trying to stop the incivility']"
202,548445007,Failed use of tool/code or error messages,Code/tool,['Discontinued further discussion']
203,498868764,Failed use of tool/code or error messages,People,"['Provided technical explanation', 'Trying to stop the incivility']"
204,81567058,Violation of community conventions,People,"['Escalating further', 'Discontinued further discussion']"
205,285132250,Technical disagreement,People,['Escalating further']
206,299453048,None,None,['None']
207,1034926389,None,None,['None']
208,24996968,Unprovoked,People,['None']
209,1278268505,Politics/ideology,People,"['Invoke Code of Conduct', 'Escalating further']"
210,777338361,Communication breakdown,People,['None']
211,40463575,None,None,['None']
212,1190959350,Politics/ideology,People,['Invoke Code of Conduct']
213,393724050,None,None,['None']
214,704818674,None,None,['None']
215,633703607,Politics/ideology,People,['None']
216,1279826564,Unprovoked,People,"['Escalating further', 'Trying to stop the incivility', 'Provided technical explanation']"
217,732267627,Communication breakdown,People,['None']
218,1303268876,None,None,['None']
219,1943190932,Technical disagreement,People,['Discontinued further discussion']
220,1100433367,Unprovoked,People,['Provided technical explanation']
221,556620312,Past interactions,People,['Escalating further']
222,430055555,Failed use of tool/code or error messages,Code/tool,"['Escalating further', 'Provided technical explanation', 'Trying to stop the incivility']"
223,1282455505,None,None,['None']
224,1167187542,Politics/ideology,People,['None']
225,528942466,Technical disagreement,Code/tool,"['Escalating further', 'Trying to stop the incivility']"
226,1412007705,Violation of community conventions,People,['Discontinued further discussion']
227,549848681,Unprovoked,People,"['Escalating further', 'Discontinued further discussion']"
228,382189305,Failed use of tool/code or error messages,People,['Escalating further']
229,1161973878,Communication breakdown,People,"['Accepting criticism', 'Trying to stop the incivility']"
230,120671163,Past interactions,People,"['Trying to stop the incivility', 'Escalating further']"
