issue_id,total_comments,url,issue_title
12894489,6,https://api.github.com/repos/doctrine/mongodb-odm/issues/554,References to embedded document collections
13258430,27,https://api.github.com/repos/capistrano/capistrano/issues/440,"reading the variable ""latest_release"" before ""deploy"" task happens makes capistrano BREAK"
22814728,4,https://api.github.com/repos/Leaflet/Leaflet/issues/2195,Leaflet JS - Country Boundaries
24996968,13,https://api.github.com/repos/composer/composer/issues/2545,Support for users without SSH access
27120442,16,https://api.github.com/repos/mysqljs/mysql/issues/731,Security issue with param escaping?
30381958,56,https://api.github.com/repos/PCSX2/pcsx2/issues/10,Feature Request: xBR shader and xBRZ filter for GSDX in both PS2 and PSX mode.
40463575,45,https://api.github.com/repos/openzfs/zfs/issues/2611,rsync and txg_sync blocked for more than 120 seconds
40896758,28,https://api.github.com/repos/thoughtbot/factory_bot/issues/683,How Factory Girl create association with existing object?
47049745,37,https://api.github.com/repos/scikit-learn/scikit-learn/issues/3808,loading my own datasets
57258770,113,https://api.github.com/repos/hashicorp/vagrant/issues/5319,Vagrant box downloads extremely slow
60472468,17,https://api.github.com/repos/rust-lang/rust/issues/23246,Rust complains about unused type parameter which is only used to parameterize another
67171304,38,https://api.github.com/repos/Automattic/mongoose/issues/2851,Multi-level discriminators
74803435,21,https://api.github.com/repos/Sonarr/Sonarr/issues/276,Import new Series from IMDB Watch List
81567058,41,https://api.github.com/repos/gabordemooij/redbean/issues/450,Add Signify / GnuPG signatures to download package
93644527,34,https://api.github.com/repos/qbittorrent/qBittorrent/issues/3369,File extension filter
102234932,12,https://api.github.com/repos/npm/npm/issues/9359,umask setting is ignored for some directories
105880443,30,https://api.github.com/repos/matplotlib/matplotlib/issues/5047,Don't draw end caps on error bars by default
119063763,40,https://api.github.com/repos/telegramdesktop/tdesktop/issues/1333,Hover-activated buttons yes/no?
119143420,35,https://api.github.com/repos/rails/rails/issues/22424,Decimal: Check attribute has value (with attrname?)
120669472,11,https://api.github.com/repos/doctrine/orm/issues/3649,DDC-2891: Impossible to pass a limit to a subquery
120671163,44,https://api.github.com/repos/doctrine/orm/issues/4568,DDC-3730: Embeddable hydrates to object instead of null
124545273,4,https://api.github.com/repos/composer/composer/issues/4745,composer my nightmare
128495560,7,https://api.github.com/repos/sparklemotion/nokogiri/issues/1419,Problem with 'parse' method
163697977,3,https://api.github.com/repos/sparklemotion/nokogiri/issues/1504,GEM INSTALLING NOKOGIRI SHOULD JUST WORK
209725628,32,https://api.github.com/repos/nextcloud/server/issues/3596,Email notifications for pending upgrades
230340780,19,https://api.github.com/repos/nvm-sh/nvm/issues/1533,Documenting how to install NVM for all users
232455334,33,https://api.github.com/repos/npm/npm/issues/16813,npm 5 does not preserve range when updates package.json
235832393,30,https://api.github.com/repos/Leaflet/Leaflet/issues/5560,zIndexOffset for marker is not working as expected
237547233,11,https://api.github.com/repos/coleifer/peewee/issues/1298,mypy type hints
239227953,38,https://api.github.com/repos/ansible/ansible/issues/26190,Allow decrypting of files with vaulted variables
245325788,18,https://api.github.com/repos/pallets/jinja/issues/752,Decide on a consistent naming of either `Jinja` or `Jinja2`
249811390,41,https://api.github.com/repos/gitextensions/gitextensions/issues/3898,Mocking static dependencies
