repo_url,issue_url,toxic_date,day-3_commits,day-3_contributors,day-3_lines_of_code,day-2_commits,day-2_contributors,day-2_lines_of_code,day-1_commits,day-1_contributors,day-1_lines_of_code,day0_commits,day0_contributors,day0_lines_of_code,day1_commits,day1_contributors,day1_lines_of_code,day2_commits,day2_contributors,day2_lines_of_code,day3_commits,day3_contributors,day3_lines_of_code,release_dates
https://api.github.com/repos/AppliedEnergistics/Applied-Energistics-2,https://api.github.com/repos/AppliedEnergistics/Applied-Energistics-2/issues/3507,2018-05-22 20:00:36+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['2025-02-26T00:33:47Z', '2025-02-23T12:38:05Z', '2025-02-22T23:50:18Z', '2025-02-22T22:48:29Z', '2025-02-22T22:07:52Z', '2025-02-14T20:06:13Z', '2025-01-30T21:24:51Z', '2025-01-30T00:22:15Z', '2025-01-29T02:08:49Z', '2025-01-14T21:56:37Z', '2025-01-14T22:22:10Z', '2025-01-14T22:20:17Z', '2024-12-22T20:18:38Z', '2024-12-22T23:08:46Z', '2024-12-22T23:09:46Z', '2024-12-19T21:28:06Z', '2024-12-19T22:53:34Z', '2024-12-17T10:58:53Z', '2024-12-17T18:50:52Z', '2024-12-17T19:01:46Z', '2024-12-13T23:19:19Z', '2024-12-13T23:18:58Z', '2024-12-10T12:03:02Z', '2024-12-09T11:16:11Z', '2024-12-08T16:31:31Z', '2024-12-08T11:58:18Z', '2024-12-08T02:33:50Z', '2024-12-08T02:26:39Z', '2024-09-16T17:09:58Z', '2024-08-25T15:32:04Z']"
https://api.github.com/repos/AppliedEnergistics/Applied-Energistics-2,https://api.github.com/repos/AppliedEnergistics/Applied-Energistics-2/issues/3800,2018-10-23 04:48:50+00:00,0,0,0,3,1,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['2025-02-26T00:33:47Z', '2025-02-23T12:38:05Z', '2025-02-22T23:50:18Z', '2025-02-22T22:48:29Z', '2025-02-22T22:07:52Z', '2025-02-14T20:06:13Z', '2025-01-30T21:24:51Z', '2025-01-30T00:22:15Z', '2025-01-29T02:08:49Z', '2025-01-14T21:56:37Z', '2025-01-14T22:22:10Z', '2025-01-14T22:20:17Z', '2024-12-22T20:18:38Z', '2024-12-22T23:08:46Z', '2024-12-22T23:09:46Z', '2024-12-19T21:28:06Z', '2024-12-19T22:53:34Z', '2024-12-17T10:58:53Z', '2024-12-17T18:50:52Z', '2024-12-17T19:01:46Z', '2024-12-13T23:19:19Z', '2024-12-13T23:18:58Z', '2024-12-10T12:03:02Z', '2024-12-09T11:16:11Z', '2024-12-08T16:31:31Z', '2024-12-08T11:58:18Z', '2024-12-08T02:33:50Z', '2024-12-08T02:26:39Z', '2024-09-16T17:09:58Z', '2024-08-25T15:32:04Z']"
https://api.github.com/repos/BEEmod/BEE2.4,https://api.github.com/repos/BEEmod/BEE2.4/issues/937,2018-06-16 18:43:21+00:00,0,0,0,0,0,0,0,0,0,0,0,0,5,1,308,0,0,0,0,0,0,"['2024-06-05T06:29:46Z', '2024-05-28T23:42:32Z', '2024-05-28T04:27:55Z', '2023-12-31T06:08:52Z', '2023-12-30T02:49:09Z', '2023-01-01T04:06:48Z', '2022-10-18T02:58:27Z', '2021-11-16T07:56:09Z', '2021-07-06T04:53:38Z', '2021-07-02T06:52:47Z', '2021-02-28T05:05:06Z', '2021-02-21T02:29:11Z', '2021-01-15T05:40:28Z', '2021-01-14T04:57:21Z', '2020-07-19T08:15:34Z', '2019-11-22T02:40:32Z', '2019-06-05T08:23:18Z', '2019-03-10T06:30:00Z', '2019-01-11T23:49:58Z', '2019-01-11T03:35:12Z', '2018-12-09T06:18:29Z', '2018-11-10T07:49:12Z', '2018-10-04T05:28:22Z', '2018-03-29T09:12:15Z', '2018-01-23T05:19:29Z', '2017-10-10T09:24:39Z', '2017-06-08T04:59:43Z', '2017-05-06T23:17:57Z', '2017-01-21T06:47:46Z', '2016-11-23T06:29:34Z']"
https://api.github.com/repos/Contentify/Contentify,https://api.github.com/repos/Contentify/Contentify/issues/398,2018-07-06 10:40:32+00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,4,0,0,0,"['2022-11-20T13:42:11Z', '2021-08-01T12:28:29Z', '2020-05-17T15:31:08Z', '2019-03-29T12:27:06Z', '2019-01-20T11:34:43Z', '2018-12-24T10:48:00Z', '2018-10-14T15:02:37Z', '2018-05-06T11:07:12Z', '2018-03-23T18:31:44Z', '2018-03-23T18:27:32Z', '2018-03-11T15:42:57Z', '2017-12-24T12:26:51Z', '2017-08-06T17:24:55Z', '2016-12-24T11:53:37Z', '2016-12-20T22:10:21Z', '2016-11-01T13:05:31Z', '2016-10-03T13:07:44Z', '2016-06-06T10:41:22Z', '2015-12-23T21:00:58Z', '2015-10-04T09:53:35Z', '2015-08-31T11:34:47Z', '2015-08-02T12:50:55Z', '2015-07-14T12:25:19Z', '2015-06-25T14:37:00Z', '2015-06-05T16:51:50Z', '2015-05-31T15:41:57Z']"
https://api.github.com/repos/Foliotek/Croppie,https://api.github.com/repos/Foliotek/Croppie/issues/587,2018-11-14 14:21:43+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['2019-04-10T15:41:14Z', '2018-03-16T13:09:44Z', '2018-02-05T15:01:49Z', '2018-02-05T14:30:49Z', '2017-10-19T12:40:54Z', '2017-07-14T15:32:58Z', '2017-03-07T15:37:17Z', '2016-10-21T19:31:55Z', '2016-08-05T18:48:11Z', '2016-06-23T20:26:28Z', '2016-05-24T13:31:28Z', '2016-04-09T16:50:57Z', '2016-03-18T19:23:18Z', '2016-03-08T14:20:26Z', '2016-02-22T15:29:00Z', '2016-02-15T21:04:03Z', '2016-01-15T20:33:24Z']"
https://api.github.com/repos/SixLabors/ImageSharp,https://api.github.com/repos/SixLabors/ImageSharp/issues/485,2018-03-09 17:02:18+00:00,1,1,3165,1,1,951,1,1,477,7,1,1851,2,1,1336,2,1,152,0,0,0,"['2025-03-06T10:36:54Z', '2025-03-06T10:37:40Z', '2024-11-19T10:34:57Z', '2024-07-22T09:50:11Z', '2024-07-22T09:49:20Z', '2024-04-11T06:37:09Z', '2024-04-11T06:12:42Z', '2024-03-06T11:43:35Z', '2024-03-05T04:53:57Z', '2024-01-01T03:34:07Z', '2023-12-11T12:25:35Z', '2023-12-01T10:54:56Z', '2023-08-30T02:02:32Z', '2023-08-30T12:38:36Z', '2023-08-14T11:09:07Z', '2023-03-28T12:14:32Z', '2023-03-28T12:15:34Z', '2023-03-01T12:35:13Z', '2022-06-18T00:16:31Z', '2022-05-26T05:37:24Z', '2022-04-21T12:50:38Z', '2022-03-16T01:18:12Z', '2022-02-07T12:17:15Z', '2021-09-28T03:42:31Z', '2021-02-17T21:20:24Z', '2020-11-13T00:10:55Z', '2020-08-21T15:05:12Z', '2020-08-04T21:46:59Z', '2020-06-18T20:04:09Z', '2020-06-08T10:50:39Z']"
https://api.github.com/repos/SixLabors/ImageSharp,https://api.github.com/repos/SixLabors/ImageSharp/issues/513,2018-04-03 16:03:22+00:00,19,1,594,2,2,135,2,1,12,3,1,1653,4,1,5325,0,0,0,0,0,0,"['2025-03-06T10:36:54Z', '2025-03-06T10:37:40Z', '2024-11-19T10:34:57Z', '2024-07-22T09:50:11Z', '2024-07-22T09:49:20Z', '2024-04-11T06:37:09Z', '2024-04-11T06:12:42Z', '2024-03-06T11:43:35Z', '2024-03-05T04:53:57Z', '2024-01-01T03:34:07Z', '2023-12-11T12:25:35Z', '2023-12-01T10:54:56Z', '2023-08-30T02:02:32Z', '2023-08-30T12:38:36Z', '2023-08-14T11:09:07Z', '2023-03-28T12:14:32Z', '2023-03-28T12:15:34Z', '2023-03-01T12:35:13Z', '2022-06-18T00:16:31Z', '2022-05-26T05:37:24Z', '2022-04-21T12:50:38Z', '2022-03-16T01:18:12Z', '2022-02-07T12:17:15Z', '2021-09-28T03:42:31Z', '2021-02-17T21:20:24Z', '2020-11-13T00:10:55Z', '2020-08-21T15:05:12Z', '2020-08-04T21:46:59Z', '2020-06-18T20:04:09Z', '2020-06-08T10:50:39Z']"
https://api.github.com/repos/mezz/JustEnoughItems,https://api.github.com/repos/mezz/JustEnoughItems/issues/1153,2018-02-24 12:48:19+00:00,0,0,0,0,0,0,0,0,0,1,1,45,0,0,0,0,0,0,0,0,0,"['2015-11-24T01:44:55Z', '2015-11-23T21:01:37Z', '2015-11-23T22:36:40Z', '2015-11-11T05:01:06Z']"
https://api.github.com/repos/NanoAdblocker/NanoCore,https://api.github.com/repos/NanoAdblocker/NanoCore/issues/87,2018-01-09 23:03:07+00:00,0,0,0,13,2,116,6,1,154,3,1,533,5,2,131,3,1,144,0,0,0,"['2020-08-23T19:50:37Z', '2020-07-16T03:32:05Z', '2020-07-11T18:49:24Z', '2020-07-04T16:40:32Z', '2020-06-07T17:04:28Z', '2020-05-26T18:54:20Z', '2020-05-21T15:15:15Z', '2020-05-16T19:09:32Z', '2020-05-21T03:21:28Z', '2020-04-06T15:22:20Z', '2020-04-04T05:06:57Z', '2020-03-18T19:11:23Z', '2020-02-19T19:09:56Z', '2020-01-01T19:56:27Z', '2020-01-01T01:51:41Z', '2019-12-28T22:44:34Z', '2019-12-28T21:48:52Z', '2019-11-09T21:02:47Z', '2019-10-11T22:21:20Z', '2019-09-26T21:32:23Z', '2019-09-07T15:13:25Z', '2019-09-06T01:39:32Z', '2019-08-25T17:51:54Z', '2019-07-28T17:19:53Z', '2019-07-17T04:14:09Z', '2019-07-04T04:14:57Z', '2019-06-01T19:41:06Z', '2019-05-25T01:17:32Z', '2019-05-24T02:59:17Z', '2019-11-09T07:38:13Z']"
https://api.github.com/repos/OpenRCT2/OpenRCT2,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/7186,2018-02-14 21:01:58+00:00,0,0,0,2,1,42,6,4,352,12,3,2091,4,3,314,5,3,65,0,0,0,"['2025-02-25T17:39:06Z', '2025-02-03T20:08:44Z', '2025-02-01T20:58:46Z', '2025-01-08T19:53:12Z', '2024-12-08T17:12:08Z', '2024-11-03T18:38:29Z', '2024-11-03T18:03:28Z', '2024-09-01T21:09:45Z', '2024-08-04T19:23:07Z', '2024-07-07T16:16:41Z', '2024-05-05T18:58:04Z', '2024-04-02T21:20:15Z', '2024-03-02T21:31:55Z', '2024-02-04T15:24:18Z', '2023-12-31T16:00:46Z', '2023-09-03T16:28:20Z', '2023-05-08T12:43:18Z', '2023-03-28T17:25:19Z', '2022-12-14T12:57:45Z', '2022-10-05T10:47:21Z', '2022-07-04T17:51:54Z', '2022-04-25T18:18:55Z', '2021-11-21T21:36:40Z', '2021-11-06T11:44:32Z', '2021-07-25T20:15:58Z', '2021-07-19T11:20:55Z', '2021-03-13T11:45:36Z', '2020-11-01T19:08:38Z', '2020-09-27T21:39:03Z', '2020-08-15T19:28:18Z']"
