repository,issue_number,issue_title,toxic_comment_id,toxic_comment_user,toxic_comment_date,toxicity_score,commits_before,commits_after,commits_day_of,commit_percent_change_before_to_after,commit_percent_change_before_to_day_of,commit_absolute_change,comments_before,comments_after,comment_percent_change,participants_before,participants_after,response_time_before,response_time_after
microsoft/vscode,163798,vscode Have you started charging? ,1283448682,wqreytuk,2022-10-19T05:25:44Z,0.984157919883728,209,260,47,24.401913875598087,-77.51196172248804,51,0,0,N/A,0,0,0.0,0.0
microsoft/vscode,163798,vscode Have you started charging? ,1283632363,Williamren97,2022-10-19T08:34:08Z,0.5777804255485535,209,258,47,23.444976076555022,-77.51196172248804,49,0,0,N/A,0,0,0.0,0.0
microsoft/vscode,163798,vscode Have you started charging? ,1283637722,kooriookami,2022-10-19T08:37:12Z,0.9948843121528625,209,258,47,23.444976076555022,-77.51196172248804,49,0,0,N/A,0,0,0.0,0.0
microsoft/vscode,163798,vscode Have you started charging? ,1283640223,emojiiii,2022-10-19T08:39:19Z,0.8647507429122925,209,258,47,23.444976076555022,-77.51196172248804,49,0,0,N/A,0,0,0.0,0.0
microsoft/vscode,163798,vscode Have you started charging? ,1284821136,Jsonpig,2022-10-20T02:25:06Z,0.854822039604187,214,226,46,5.607476635514018,-78.50467289719626,12,0,0,N/A,0,0,0.0,0.0
microsoft/vscode,163798,vscode Have you started charging? ,1284825949,gaokun,2022-10-20T02:31:24Z,0.8980814814567566,214,226,46,5.607476635514018,-78.50467289719626,12,0,0,N/A,0,0,0.0,0.0
microsoft/vscode,163798,vscode Have you started charging? ,1284975065,netbuggang,2022-10-20T05:50:27Z,0.9309003353118896,211,224,49,6.161137440758294,-76.77725118483413,13,0,0,N/A,0,0,0.0,0.0
microsoft/vscode,163798,vscode Have you started charging? ,1284976295,h7ml,2022-10-20T05:51:54Z,0.9556599259376526,211,224,49,6.161137440758294,-76.77725118483413,13,0,0,N/A,0,0,0.0,0.0
microsoft/vscode,163798,vscode Have you started charging? ,1284978885,Yinboan,2022-10-20T05:55:12Z,0.9556599259376526,211,224,49,6.161137440758294,-76.77725118483413,13,0,0,N/A,0,0,0.0,0.0
microsoft/vscode,163798,vscode Have you started charging? ,1284988692,liguonan888,2022-10-20T06:07:00Z,0.8125302195549011,211,224,49,6.161137440758294,-76.77725118483413,13,168,13,-92.26190476190477,143,10,0.39264471057884226,0.0975462962962963
